State,Stations,Station_rank
Alabama,424,30
Alaska,65,51
Arizona,1198,19
Arkansas,334,36
California,16381,1
Colorado,2165,7
Connecticut,865,22
Delaware,197,44
District of Columbia,369,34
Florida,3430,3
Georgia,1886,8
Hawaii,384,31
Idaho,205,43
Illinois,1337,15
Indiana,565,26
Iowa,371,33
Kansas,547,28
Kentucky,328,37
Louisiana,265,40
Maine,486,29
Maryland,1726,9
Massachusetts,2965,5
Michigan,1447,14
Minnesota,773,23
Mississippi,163,45
Missouri,1240,18
Montana,126,47
Nebraska,260,42
Nevada,596,24
New Hampshire,261,41
New Jersey,1299,16
New Mexico,278,39
New York,3898,2
North Carolina,1595,11
North Dakota,98,49
Ohio,1586,12
Oklahoma,358,35
Oregon,1263,17
Pennsylvania,1712,10
Rhode Island,317,38
South Carolina,559,27
South Dakota,98,49
Tennessee,918,20
Texas,3104,4
Utah,893,21
Vermont,381,32
Virginia,1562,13
Washington,2202,6
West Virginia,155,46
Wisconsin,577,25
Wyoming,103,48
