State,EV_rate,EV_rate_rank
Alabama,0.269,44
Alaska,0.482,33
Arizona,1.375,10
Arkansas,0.262,45
California,3.41,1
Colorado,1.656,8
Connecticut,1.073,17
Delaware,0.918,20
District of Columbia,2.595,2
Florida,1.372,11
Georgia,0.958,19
Hawaii,2.37,3
Idaho,0.43,38
Illinois,0.992,18
Indiana,0.423,39
Iowa,0.285,43
Kansas,0.431,37
Kentucky,0.287,42
Louisiana,0.217,46
Maine,0.599,27
Maryland,1.425,9
Massachusetts,1.344,12
Michigan,0.59,28
Minnesota,0.725,24
Mississippi,0.132,50
Missouri,0.478,34
Montana,0.45,35
Nebraska,0.35,41
Nevada,1.854,5
New Hampshire,0.715,25
New Jersey,1.84,6
New Mexico,0.528,30
New York,1.16,15
North Carolina,0.773,22
North Dakota,0.125,51
Ohio,0.488,32
Oklahoma,0.532,29
Oregon,1.68,7
Pennsylvania,0.687,26
Rhode Island,0.729,23
South Carolina,0.414,40
South Dakota,0.185,47
Tennessee,0.508,31
Texas,0.892,21
Utah,1.3,14
Vermont,1.315,13
Virginia,1.099,16
Washington,2.231,4
West Virginia,0.185,47
Wisconsin,0.45,35
Wyoming,0.168,49
