State,gas_price,gas_price_rank
Georgia,3.01,51
Mississippi,3.02,50
Texas,3.03,49
Louisiana,3.08,48
Alabama,3.09,47
South Carolina,3.11,46
Arkansas,3.13,45
Tennessee,3.14,44
Kentucky,3.19,43
Delaware,3.2,42
Missouri,3.22,40
Ohio,3.22,40
Oklahoma,3.23,39
North Carolina,3.24,38
Wisconsin,3.26,37
Iowa,3.3,36
Florida,3.32,35
Virginia,3.33,34
Indiana,3.36,33
Kansas,3.37,30
Maryland,3.37,30
Michigan,3.37,30
West Virginia,3.38,29
New Jersey,3.43,27
Minnesota,3.43,27
Nebraska,3.45,26
New Mexico,3.48,25
New Hampshire,3.5,24
Rhode Island,3.54,22
California,5.39,1
Hawaii,4.77,2
Washington,4.76,3
Nevada,4.67,4
Oregon,4.42,5
Alaska,4.32,6
Arizona,4.13,7
Idaho,3.93,8
Montana,3.88,9
Utah,3.81,10
New York,3.77,11
Pennsylvania,3.72,12
District of Columbia,3.69,13
Colorado,3.66,14
Wyoming,3.66,14
North Dakota,3.65,16
Vermont,3.65,16
Connecticut,3.62,18
Illinois,3.62,18
Maine,3.6,20
Massachusetts,3.6,20
South Dakota,3.54,22
